iter	Passed	Remaining
628	2016	1189
629	2019	1186
630	2022	1183
631	2026	1179
632	2028	1176
633	2032	1173
634	2035	1169
635	2037	1166
636	2040	1162
637	2043	1159
638	2046	1156
639	2049	1152
640	2052	1149
641	2054	1145
642	2057	1142
643	2060	1139
644	2063	1135
645	2066	1132
646	2069	1128
647	2072	1125
648	2075	1122
649	2078	1119
650	2082	1116
651	2085	1112
652	2088	1109
653	2091	1106
654	2094	1103
655	2097	1100
656	2101	1096
657	2104	1093
658	2107	1090
659	2110	1087
660	2113	1083
661	2116	1080
662	2119	1077
663	2122	1073
664	2125	1070
665	2128	1067
666	2131	1064
667	2134	1060
668	2137	1057
669	2140	1054
670	2143	1050
671	2146	1047
672	2149	1044
673	2152	1040
674	2154	1037
675	2157	1034
676	2160	1030
677	2163	1027
678	2166	1024
679	2169	1020
680	2172	1017
681	2175	1014
682	2178	1011
683	2181	1007
684	2183	1004
685	2186	1000
686	2189	997
687	2192	994
688	2195	991
689	2198	987
690	2201	984
691	2204	981
692	2207	977
693	2210	974
694	2213	971
695	2215	967
696	2218	964
697	2221	961
698	2224	958
699	2227	954
700	2230	951
701	2233	948
702	2236	944
703	2239	941
704	2242	938
705	2244	934
706	2247	931
707	2251	928
708	2253	925
709	2256	921
710	2259	918
711	2262	915
712	2265	911
713	2268	908
714	2271	905
715	2274	902
716	2277	898
717	2280	895
718	2283	892
719	2286	889
720	2289	885
721	2291	882
722	2294	879
723	2297	875
724	2300	872
725	2303	869
726	2306	866
727	2309	863
728	2312	859
729	2315	856
730	2318	853
731	2321	849
732	2324	846
733	2327	843
734	2330	840
735	2333	836
736	2336	833
737	2339	830
738	2341	827
739	2344	823
740	2347	820
741	2350	817
742	2353	814
743	2356	810
744	2359	807
745	2362	804
746	2365	801
747	2368	797
748	2370	794
749	2374	791
750	2376	788
751	2380	784
752	2383	781
753	2386	778
754	2388	775
755	2391	771
756	2394	768
757	2397	765
758	2400	762
759	2403	759
760	2406	755
761	2409	752
762	2412	749
763	2415	746
764	2419	743
765	2422	739
766	2425	736
767	2428	733
768	2430	730
769	2433	726
770	2436	723
771	2439	720
772	2442	717
773	2445	714
774	2448	710
775	2451	707
776	2454	704
777	2457	701
778	2460	698
779	2463	694
780	2466	691
781	2469	688
782	2472	685
783	2475	681
784	2478	678
785	2480	675
786	2483	672
787	2486	668
788	2489	665
789	2492	662
